year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1790,T0,T0,T0,T0,T0,T0,240710,67983,T0,T0,111812,T0,T0,T0,T0,T0,T0,T86107,T0,T96540,422764,378787,T0,T0,T0,T0,T0,T0,T0,142043,195562,T0,361444,494323,T0,T0,T0,T0,438110,69773,356167,T0,T39108,T0,T0,T85425,979896,T0,T60541,T0,T0
1800,T1744,T0,T0,T0,T0,T0,251953,70426,8144,T0,222385,T0,T0,T2565,T2660,T0,T0,261302,T0,T151719,447183,422845,T3757,T0,T10595,T0,T0,T0,T0,183866,223571,T0,606663,611399,T0,T42159,T0,T0,604251,69502,491742,T0,119186,T0,T0,154465,1147056,T0,T85764,T0,T0
1810,T11611,T0,T0,T1198,T0,T0,262352,76851,15471,T0,356625,T0,T0,T12450,T24757,T0,T0,487072,T111216,T228705,492048,472040,T4786,T0,T45829,T22658,T0,T0,T0,214360,256406,T0,974066,725350,T0,230760,T0,T0,810886,77039,611480,T0,306262,T0,T0,217713,1261204,T0,T116305,T0,T0
1820,169780,T0,T0,T15890,T0,T0,275299,77258,23336,T0,490645,T0,T0,56128,147368,T0,T0,691049,222471,298335,514748,523287,T7452,T0,108262,T76808,T0,T0,T0,244161,285132,T0,1382900,843746,T0,581434,T0,T0,1049669,83107,761216,T0,502920,T0,T0,235764,1350147,T0,T151977,T1444,T0
1830,427076,T0,T0,T34964,T0,T0,297700,80040,30261,T50231,734354,T0,T0,158192,343034,T0,T0,853130,325327,399457,550034,610409,T28005,T0,202280,165546,T0,T0,T0,269331,323077,T0,1918683,983588,T0,937909,T0,T0,1348636,97216,896586,T0,823507,T0,T0,280652,1497752,T0,T194597,T3666,T0
1840,844288,T0,T0,117509,T0,T0,309995,80690,33745,T80194,972336,T0,T0,476514,685869,T43128,T0,962086,520863,501793,559756,737699,212267,T0,570862,441942,T0,T0,T0,284575,373980,T0,2428925,999236,T0,1519470,T0,T0,1724097,108835,921436,T0,1012269,T0,T0,291948,1457100,T0,T243025,T30956,T0
1850,1114467,T0,T0,256997,92597,T0,370792,93822,51687,126755,1287867,T0,T0,851470,988416,192214,T0,1193386,762571,583169,673402,994514,397654,T6077,916404,769466,T0,T0,T0,317976,489791,T61547,3097394,1157587,T0,1980329,T0,T12093,2311786,147545,1053491,T0,1242176,270753,T11406,314120,1571376,T1201,T322813,305391,T0
1860,1399281,T0,T0,546565,379994,T34277,460147,114014,75080,202169,1519484,T0,T0,1711951,1350428,674913,T107208,1381167,1039728,628279,774238,1231066,749113,172023,1227936,1296943,T0,T28856,T6857,326073,672053,T87034,3880735,1323681,T0,2339511,T0,52465,2906215,174620,1106114,T4837,1385520,786781,T40302,315098,1692124,T11594,T395059,775881,T0
1870,996992,T0,T9658,484471,560247,T39864,537454,125015,131700,187748,1184109,T0,T14999,2539891,1680637,1194020,364399,1321011,726915,626915,780894,1457351,1184059,439706,827922,1721295,T20595,122993,42491,318300,906096,T91874,4382759,1071361,T2405,2665260,T0,90923,3521951,217353,705606,T11776,1258520,818579,T86336,330551,1225163,T23955,442014,1054670,T9118
1880,1262505,T0,T40440,802525,864694,194327,622700,146608,177624,269493,1542180,T0,T32610,3077871,1978301,1624615,996096,1648690,939946,648936,934943,1783085,1636937,780773,1131597,2168380,T39159,452402,62266,346991,1131116,T119565,5082871,1399750,T36909,3198062,T0,174768,4282891,276531,995577,T98268,1542359,1591749,T143963,332286,1512565,T75116,618457,1315497,T20789
1890,1513017,T33426,T88243,1128211,1213398,413249,746258,168493,230392,391422,1837353,T0,88548,3826351,2192404,1912297,1428108,1858635,1118587,661086,1042390,2238943,2093889,1310283,1289600,2679184,142924,1062656,47355,376530,1444933,T160282,6003174,1617947,190983,3672316,T258657,317704,5258014,345506,1151149,348600,1767518,2235523,T210779,332422,1655980,357232,762794,1693330,60705
1900,1828697,T32052,T122931,1311564,1485053,539700,908420,184735,278718,528542,2216331,T154001,161772,4821550,2516462,2231853,1470495,2147174,1381625,694466,1188044,2805346,2420982,1751394,1551270,3106665,243329,1066300,42335,411588,1883669,T195310,7268894,1893810,319146,4157545,T790391,413536,6302115,428556,1340316,401570,2020616,3048710,276749,343641,1854184,518103,958800,2069042,92531
1910,2138093,T64356,T204354,1574449,2377549,799024,1114756,202322,331069,752619,2609121,T191909,325594,5638591,2700876,2224771,1690949,2289905,1656388,742371,1295346,3366416,2810173,2075708,1797114,3293335,376053,1192214,81875,430572,2537167,T327301,9113614,2206287,577056,4767121,1657155,672765,7665111,542610,1515400,583888,2184789,3896542,373351,355956,2061612,1141990,1221119,2333860,145965
1920,2348174,T55036,334162,1752204,3426861,939629,1380631,223003,437571,968470,2895832,T255912,431866,6485280,2930390,2404021,1769257,2416630,1798509,768014,1449661,3852356,3668412,2387125,1790618,3404055,548889,1296372,77407,443083,3155900,360350,10385227,2559123,646872,5759394,2028283,783389,8720017,604397,1683724,636547,2337885,4663228,449396,352428,2309187,1356621,1463701,2632067,194402
1930,2646248,T59278,435573,1854482,5677251,1035791,1606903,238380,486869,1468211,2908506,T368336,445032,7630654,3238503,2470939,1880999,2614589,2101593,797423,1631526,4249614,4842325,2563953,2009821,3629367,537606,1377963,91058,465293,4041334,423317,12588066,3170276,680845,6646697,2396040,953786,9631350,687497,1738765,692849,2616556,5824715,507847,359611,2421851,1563396,1729205,2939006,225565
1940,2832961,T72524,499261,1949387,6907387,1123296,1709242,266505,663091,1897414,3123723,T423330,524873,7897241,3427796,2538268,1801028,2845627,2363880,847226,1821244,4316721,5256106,2792300,2183796,3784664,559456,1315834,110247,491524,4160165,531818,13479142,3571623,641935,6907612,2336434,1089684,9900180,713346,1899804,642961,2915841,6414824,550310,359231,2677773,1736191,1901974,3137587,250742
1950,3061743,T128643,749587,1909511,10586223,1325089,2007280,318085,802178,2771305,3444578,T499794,588637,8712176,3934224,2621073,1905299,2944806,2683516,913774,2343001,4690514,6371766,2982483,2178914,3954653,591024,1325510,160083,533242,4835329,681187,14830192,4061929,619636,7946627,2233351,1521341,10498012,791896,2117027,652740,3291718,7711194,688862,377747,3318680,2378963,2005552,3434575,290529
1960,3266740,226167,1302161,1786272,15717204,1753947,2535234,446292,763956,4951560,3943116,632772,667191,10081158,4662498,2757537,2178611,3038156,3257022,969265,3100689,5148578,7823194,3413864,2178141,4319813,674767,1411330,285278,606921,6066782,951023,16782304,4556155,632446,9706397,2328284,1768687,11319366,859488,2382594,680514,3567089,9579677,890627,389881,3966949,2853214,1860421,3951777,330066
1970,3444165,300382,1770900,1923295,19953134,2207259,3031709,548104,756510,6789443,4589575,768561,712567,11113976,5193669,2824376,2246578,3218706,3641306,992048,3922399,5689170,8875083,3804971,2216912,4676501,694409,1483493,488738,737681,7168164,1016000,18236967,5082059,617761,10652017,2559229,2091385,11793909,946725,2590516,665507,3923687,11196730,1059273,444330,4648494,3409169,1744237,4417731,332416
1980,3893888,401851,2718215,2286435,23667902,2889964,3107576,594338,638333,9746324,5463105,964691,943935,11426518,5490224,2913808,2363679,3660777,4205900,1124660,4216975,5737037,9262078,4075970,2520638,4916686,786690,1569825,800493,920610,7364823,1302894,17558072,5881766,652717,10797630,3025290,2633105,11863895,947154,3121820,690768,4591120,14229191,1461037,511456,5346818,4132156,1949644,4705767,469557
1990,4040587,550043,3665228,2350725,29760021,3294394,3287116,666168,606900,12937926,6478216,1108229,1006749,11430602,5544159,2776755,2477574,3685296,4219973,1227928,4781468,6016425,9295297,4375099,2573216,5117073,799065,1578385,1201833,1109252,7730188,1515069,17990455,6628637,638800,10847115,3145585,2842321,11881643,1003464,3486703,696004,4877185,16986510,1722850,562758,6187358,4866692,1793477,4891769,453588
2000,4447100,626932,5130632,2673400,33871648,4301261,3405565,783600,572059,15982378,8186453,1211537,1293953,12419293,6080485,2926324,2688418,4041769,4468976,1274923,5296486,6349097,9938444,4919479,2844658,5595211,902195,1711263,1998257,1235786,8414350,1819046,18976457,8049313,642200,11353140,3450654,3421399,12281054,1048319,4012012,754844,5689283,20851820,2233169,608827,7078515,5894121,1808344,5363675,493782
2010,4779736,710231,6392017,2915918,37253956,5029196,3574097,897934,601723,18801310,9687653,1360301,1567582,12830632,6483802,3046355,2853118,4339367,4533372,1328361,5773552,6547629,9883640,5303925,2967297,5988927,989415,1826341,2700551,1316470,8791894,2059179,19378102,9535483,672591,11536504,3751351,3831074,12702379,1052567,4625364,814180,6346105,25145561,2763885,625741,8001024,6724540,1852994,5686986,563626
